X01 = 59   Y01 = 63
X02 = 58   Y02 = 62
X03 = 57   Y03 = 61
X04 = 56   Y04 = 60
X05 = 51   Y05 = 55
X06 = 50   Y06 = 54
X07 = 49   Y07 = 53
X08 = 48   Y08 = 52
X09 = 43   Y09 = 47
X10 = 42   Y10 = 46
X11 = 41   Y11 = 45
X12 = 40   Y12 = 44
X13 = 35   Y13 = 39
X14 = 34   Y14 = 38
X15 = 33   Y15 = 37
X16 = 32   Y16 = 36
X17 = 27   Y17 = 31
X18 = 26   Y18 = 30
X19 = 25   Y19 = 29
X20 = 24   Y20 = 28
X21 = 19   Y21 = 23
X22 = 18   Y22 = 22
X23 = 17   Y23 = 21
X24 = 16   Y24 = 20
X25 = 11   Y25 = 15
X26 = 10   Y26 = 14
X27 = 09   Y27 = 13
X28 = 08   Y28 = 12
X29 = 03   Y29 = 07
X30 = 02   Y30 = 06
X31 = 01   Y31 = 05
X32 = 00   Y32 = 04
