Plan avant :                Plan arriere :

X01 = 63   Y01 = 61	    X01 = 59   Y01 = 57
X02 = 55   Y02 = 53	    X02 = 51   Y02 = 49
X03 = 47   Y03 = 45	    X03 = 43   Y03 = 41
X04 = 39   Y04 = 37	    X04 = 35   Y04 = 33
X05 = 31   Y05 = 29	    X05 = 27   Y05 = 25
X06 = 23   Y06 = 21	    X06 = 19   Y06 = 17
X07 = 15   Y07 = 13	    X07 = 11   Y07 = 09
X08 = 07   Y08 = 05	    X08 = 03   Y08 = 01
X09 = 62   Y09 = 60	    X09 = 58   Y09 = 56
X10 = 54   Y10 = 52	    X10 = 50   Y10 = 48
X11 = 46   Y11 = 44	    X11 = 42   Y11 = 40
X12 = 38   Y12 = 36	    X12 = 34   Y12 = 32
X13 = 30   Y13 = 28	    X13 = 26   Y13 = 24
X14 = 22   Y14 = 20	    X14 = 18   Y14 = 16
X15 = 14   Y15 = 12	    X15 = 10   Y15 = 08
X16 = 06   Y16 = 04	    X16 = 02   Y16 = 00
